raiste	raer	VIX2	aiste	2	0	raiste
consubstancies	consubstanciar	VSP2	ancies	4	0	consubstancies
consubstancien	consubstanciar	VSP6	ancien	4	0	consubstancien
contagie	contagiar	VSP1	agie	3	0	contagie
contagies	contagiar	VSP2	agies	3	0	contagies
contagien	contagiar	VSP6	agien	3	0	contagien
desagracie	desagraciar	VSP1	acie	4	0	desagracie
desagracies	desagraciar	VSP2	acies	4	0	desagracies
desagracien	desagraciar	VSP6	acien	4	0	desagracien
desagravie	desagraviar	VSP1	abie	4	0	desagravie
desagravies	desagraviar	VSP2	abies	4	0	desagravies
desagravien	desagraviar	VSP6	abien	4	0	desagravien
desaire	desairar	VSP1	aire	3	0	desaire
desaires	desairar	VSP2	aires	3	0	desaires
desairen	desairar	VSP6	airen	3	0	desairen
descambie	descambiar	VSP1	ambie	3	0	descambie
descambies	descambiar	VSP2	ambies	3	0	descambies
descambien	descambiar	VSP6	ambien	3	0	descambien
descontagie	descontagiar	VSP1	agie	4	0	descontagie
descontagies	descontagiar	VSP2	agies	4	0	descontagies
descontagien	descontagiar	VSP6	agien	4	0	descontagien
desenfraile	desenfrailar	VSP1	aile	4	0	desenfraile
desenfrailes	desenfrailar	VSP2	ailes	4	0	desenfrailes
desenfrailen	desenfrailar	VSP6	ailen	4	0	desenfrailen
desenhastie	desenhastiar	VSP1	astie	4	0	desenhastie
desenhasties	desenhastiar	VSP2	asties	4	0	desenhasties
desenhastien	desenhastiar	VSP6	astien	4	0	desenhastien
desenvaine	desenvainar	VSP1	aine	4	0	desenvaine
desenvaines	desenvainar	VSP2	aines	4	0	desenvaines
desenvainen	desenvainar	VSP6	ainen	4	0	desenvainen
desgracie	desgraciar	VSP1	acie	3	0	desgracie
desgracies	desgraciar	VSP2	acies	3	0	desgracies
desgracien	desgraciar	VSP6	acien	3	0	desgracien
deslaide	deslaidar	VSP1	aide	3	0	deslaide
deslaides	deslaidar	VSP2	aides	3	0	deslaides
deslaiden	deslaidar	VSP6	aiden	3	0	deslaiden
destapie	destapiar	VSP1	apie	3	0	destapie
destapies	destapiar	VSP2	apies	3	0	destapies
destapien	destapiar	VSP6	apien	3	0	destapien
desubstancie	desubstanciar	VSP1	ancie	4	0	desubstancie
desubstancies	desubstanciar	VSP2	ancies	4	0	desubstancies
desubstancien	desubstanciar	VSP6	ancien	4	0	desubstancien
desustancie	desustanciar	VSP1	ancie	4	0	desustancie
desustancies	desustanciar	VSP2	ancies	4	0	desustancies
desustancien	desustanciar	VSP6	ancien	4	0	desustancien
desvaine	desvainar	VSP1	aine	3	0	desvaine
desvaines	desvainar	VSP2	aines	3	0	desvaines
desvainen	desvainar	VSP6	ainen	3	0	desvainen
digladie	digladiar	VSP1	adie	3	0	digladie
digladies	digladiar	VSP2	adies	3	0	digladies
digladien	digladiar	VSP6	adien	3	0	digladien
distancie	distanciar	VSP1	ancie	3	0	distancie
distancies	distanciar	VSP2	ancies	3	0	distancies
distancien	distanciar	VSP6	ancien	3	0	distancien
embarrie	embarriar	VSP1	arrie	3	1	embarrie
embarries	embarriar	VSP2	arries	3	1	embarries
embarrien	embarriar	VSP6	arrien	3	1	embarrien
empalie	empaliar	VSP1	alie	3	1	empalie
empalies	empaliar	VSP2	alies	3	1	empalies
empalien	empaliar	VSP6	alien	3	1	empalien
encabrie	encabriar	VSP1	abrie	3	1	encabrie
encabries	encabriar	VSP2	abries	3	1	encabries
encabrien	encabriar	VSP6	abrien	3	1	encabrien
encalabrie	encalabriar	VSP1	abrie	4	1	encalabrie
encalabries	encalabriar	VSP2	abries	4	1	encalabries
encalabrien	encalabriar	VSP6	abrien	4	1	encalabrien
enfastie	enfastiar	VSP1	astie	3	1	enfastie
enfasties	enfastiar	VSP2	asties	3	1	enfasties
enfastien	enfastiar	VSP6	astien	3	1	enfastien
enfraile	enfrailar	VSP1	aile	3	1	enfraile
enfrailes	enfrailar	VSP2	ailes	3	1	enfrailes
enfrailen	enfrailar	VSP6	ailen	3	1	enfrailen
engaite	engaitar	VSP1	aite	3	1	engaite
engaites	engaitar	VSP2	aites	3	1	engaites
engaiten	engaitar	VSP6	aiten	3	1	engaiten
engarfie	engarfiar	VSP1	arfie	3	1	engarfie
engarfies	engarfiar	VSP2	arfies	3	1	engarfies
engarfien	engarfiar	VSP6	arfien	3	1	engarfien
engavie	engaviar	VSP1	abie	3	1	engavie
engavies	engaviar	VSP2	abies	3	1	engavies
engavien	engaviar	VSP6	abien	3	1	engavien
engracie	engraciar	VSP1	acie	3	1	engracie
engracies	engraciar	VSP2	acies	3	1	engracies
engracien	engraciar	VSP6	acien	3	1	engracien
enjarcie	enjarciar	VSP1	arcie	3	1	enjarcie
enjarcies	enjarciar	VSP2	arcies	3	1	enjarcies
enjarcien	enjarciar	VSP6	arcien	3	1	enjarcien
enlabie	enlabiar	VSP1	abie	3	1	enlabie
enlabies	enlabiar	VSP2	abies	3	1	enlabies
enlabien	enlabiar	VSP6	abien	3	1	enlabien
enlacie	enlaciar	VSP1	acie	3	1	enlacie
enlacies	enlaciar	VSP2	acies	3	1	enlacies
enlacien	enlaciar	VSP6	acien	3	1	enlacien
enrabie	enrabiar	VSP1	abie	3	1	enrabie
enrabies	enrabiar	VSP2	abies	3	1	enrabies
enrabien	enrabiar	VSP6	abien	3	1	enrabien
enrancie	enranciar	VSP1	ancie	3	1	enrancie
enrancies	enranciar	VSP2	ancies	3	1	enrancies
enrancien	enranciar	VSP6	ancien	3	1	enrancien
envaine	envainar	VSP1	aine	3	1	envaine
envaines	envainar	VSP2	aines	3	1	envaines
envainen	envainar	VSP6	ainen	3	1	envainen
enzaine	enzainar	VSP1	aine	3	1	enzaine
enzaines	enzainar	VSP2	aines	3	1	enzaines
enzainen	enzainar	VSP6	ainen	3	1	enzainen
escalie	escaliar	VSP1	alie	3	1	escalie
escalies	escaliar	VSP2	alies	3	1	escalies
escalien	escaliar	VSP6	alien	3	1	escalien
escancie	escanciar	VSP1	ancie	3	1	escancie
escancies	escanciar	VSP2	ancies	3	1	escancies
escancien	escanciar	VSP6	ancien	3	1	escancien
escarie	escariar	VSP1	arie	3	1	escarie
escaries	escariar	VSP2	aries	3	1	escaries
escarien	escariar	VSP6	arien	3	1	escarien
escarpie	escarpiar	VSP1	arpie	3	1	escarpie
escarpies	escarpiar	VSP2	arpies	3	1	escarpies
escarpien	escarpiar	VSP6	arpien	3	1	escarpien
espacie	espaciar	VSP1	acie	3	1	espacie
espacies	espaciar	VSP2	acies	3	1	espacies
espacien	espaciar	VSP6	acien	3	1	espacien
expatrie	expatriar	VSP1	atrie	3	1	expatrie
expatries	expatriar	VSP2	atries	3	1	expatries
expatrien	expatriar	VSP6	atrien	3	1	expatrien
financie	financiar	VSP1	ancie	3	0	financie
financies	financiar	VSP2	ancies	3	0	financies
financien	financiar	VSP6	ancien	3	0	financien
fraile	frailar	VSP1	aile	2	0	fraile
frailes	frailar	VSP2	ailes	2	0	frailes
frailen	frailar	VSP6	ailen	2	0	frailen
gazmie	gazmiar	VSP1	azmie	2	0	gazmie
gazmies	gazmiar	VSP2	azmies	2	0	gazmies
gazmien	gazmiar	VSP6	azmien	2	0	gazmien
guaite	guaitar	VSP1	aite	2	0	guaite
guaites	guaitar	VSP2	aites	2	0	guaites
guaiten	guaitar	VSP6	aiten	2	0	guaiten
intercambie	intercambiar	VSP1	ambie	4	1	intercambie
intercambies	intercambiar	VSP2	ambies	4	1	intercambies
intercambien	intercambiar	VSP6	ambien	4	1	intercambien
inventarie	inventariar	VSP1	arie	4	1	inventarie
inventaries	inventariar	VSP2	aries	4	1	inventaries
inventarien	inventariar	VSP6	arien	4	1	inventarien
irradie	irradiar	VSP1	adie	3	1	irradie
irradies	irradiar	VSP2	adies	3	1	irradies
irradien	irradiar	VSP6	adien	3	1	irradien
jadie	jadiar	VSP1	adie	2	0	jadie
jadies	jadiar	VSP2	adies	2	0	jadies
jadien	jadiar	VSP6	adien	2	0	jadien
jarcie	jarciar	VSP1	arcie	2	0	jarcie
jarcies	jarciar	VSP2	arcies	2	0	jarcies
jarcien	jarciar	VSP6	arcien	2	0	jarcien
magie	magiar	VSP1	agie	2	0	magie
magies	magiar	VSP2	agies	2	0	magies
magien	magiar	VSP6	agien	2	0	magien
paire	pairar	VSP1	aire	2	0	paire
paires	pairar	VSP2	aires	2	0	paires
pairen	pairar	VSP6	airen	2	0	pairen
plagie	plagiar	VSP1	agie	2	0	plagie
plagies	plagiar	VSP2	agies	2	0	plagies
plagien	plagiar	VSP6	agien	2	0	plagien
presagie	presagiar	VSP1	agie	3	0	presagie
presagies	presagiar	VSP2	agies	3	0	presagies
presagien	presagiar	VSP6	agien	3	0	presagien
rabie	rabiar	VSP1	abie	2	0	rabie
rabies	rabiar	VSP2	abies	2	0	rabies
rabien	rabiar	VSP6	abien	2	0	rabien
radie	radiar	VSP1	adie	2	0	radie
radies	radiar	VSP2	adies	2	0	radies
radien	radiar	VSP6	adien	2	0	radien
rancie	ranciar	VSP1	ancie	2	0	rancie
rancies	ranciar	VSP2	ancies	2	0	rancies
rancien	ranciar	VSP6	ancien	2	0	rancien
recambie	recambiar	VSP1	ambie	3	0	recambie
recambies	recambiar	VSP2	ambies	3	0	recambies
recambien	recambiar	VSP6	ambien	3	0	recambien
regracie	regraciar	VSP1	acie	3	0	regracie
regracies	regraciar	VSP2	acies	3	0	regracies
regracien	regraciar	VSP6	acien	3	0	regracien
repatrie	repatriar	VSP1	atrie	3	0	repatrie
repatries	repatriar	VSP2	atries	3	0	repatries
repatrien	repatriar	VSP6	atrien	3	0	repatrien
represalie	represaliar	VSP1	alie	4	0	represalie
represalies	represaliar	VSP2	alies	4	0	represalies
represalien	represaliar	VSP6	alien	4	0	represalien
resabie	resabiar	VSP1	abie	3	0	resabie
resabies	resabiar	VSP2	abies	3	0	resabies
resabien	resabiar	VSP6	abien	3	0	resabien
respahile	respahilar	VSP1	ahile	3	0	respahile
respahiles	respahilar	VSP2	ahiles	3	0	respahiles
respahilen	respahilar	VSP6	ahilen	3	0	respahilen
sacie	saciar	VSP1	acie	2	0	sacie
sacies	saciar	VSP2	acies	2	0	sacies
sacien	saciar	VSP6	acien	2	0	sacien
salarie	salariar	VSP1	arie	3	0	salarie
salaries	salariar	VSP2	aries	3	0	salaries
salarien	salariar	VSP6	arien	3	0	salarien
substancie	substanciar	VSP1	ancie	3	0	substancie
substancies	substanciar	VSP2	ancies	3	0	substancies
substancien	substanciar	VSP6	ancien	3	0	substancien
sustancie	sustanciar	VSP1	ancie	3	0	sustancie
sustancies	sustanciar	VSP2	ancies	3	0	sustancies
sustancien	sustanciar	VSP6	ancien	3	0	sustancien
taime	taimar	VSP1	aime	2	0	taime
taimes	taimar	VSP2	aimes	2	0	taimes
taimen	taimar	VSP6	aimen	2	0	taimen
tapie	tapiar	VSP1	apie	2	0	tapie
tapies	tapiar	VSP2	apies	2	0	tapies
tapien	tapiar	VSP6	apien	2	0	tapien
transubstancie	transubstanciar	VSP1	ancie	4	0	transubstancie
transubstancies	transubstanciar	VSP2	ancies	4	0	transubstancies
transubstancien	transubstanciar	VSP6	ancien	4	0	transubstancien
transustancie	transustanciar	VSP1	ancie	4	0	transustancie
transustancies	transustanciar	VSP2	ancies	4	0	transustancies
transustancien	transustanciar	VSP6	ancien	4	0	transustancien
